group,water_years,month,month_number,slot,cell_id,merra_latitude,merra_longitude,pooled_modis_fsca_fraction,masked_modis_fsca_below_0_1,normalized_mean_bias_pct,mean_annual_nmb_pct,n_water_years,degrees_of_freedom,t_statistic,two_sided_p_value,two_sided_p_lt_0_05
Wet,"2011,2017,2019,2023",December,12,38,MERRA2_i258_j120,39.0,-105.0,0.1856571159357964,False,-68.90547544244458,-71.45461348550634,4,3,-19.561726602360203,0.0002918626085445567,True
Wet,"2011,2017,2019,2023",December,12,39,MERRA2_i258_j121,39.0,-104.375,0.09728716611299516,True,-60.09411448617536,-24.837591775547953,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,40,MERRA2_i259_j114,39.5,-108.75,0.4880372719245718,False,-54.65634991874065,-55.361775932855636,4,3,-21.151143345892095,0.0002311987206279238,True
Wet,"2011,2017,2019,2023",December,12,41,MERRA2_i259_j115,39.5,-108.125,0.5378415673601237,False,-8.496104289437575,5.749622120868775,4,3,0.2762735304503202,0.8002776072160045,False
Wet,"2011,2017,2019,2023",December,12,42,MERRA2_i259_j116,39.5,-107.5,0.6843105390184978,False,12.644519309014031,13.372677217984208,4,3,2.1020204798425293,0.12632203093802638,False
Wet,"2011,2017,2019,2023",December,12,43,MERRA2_i259_j117,39.5,-106.875,0.7570822580817669,False,22.648705750855495,25.06180498300797,4,3,6.819547689522798,0.006450112727457614,True
Wet,"2011,2017,2019,2023",December,12,44,MERRA2_i259_j118,39.5,-106.25,0.8821022275462376,False,4.487087039516808,4.93642178996097,4,3,1.848803577171194,0.1616167037782576,False
Wet,"2011,2017,2019,2023",December,12,45,MERRA2_i259_j119,39.5,-105.625,0.44653497098140954,False,0.7700090443577736,1.2766014938672194,4,3,0.07648547543109893,0.9438480943930936,False
Wet,"2011,2017,2019,2023",December,12,46,MERRA2_i259_j120,39.5,-105.0,0.09681297357719332,True,-28.98738982552817,-19.455389528143,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,47,MERRA2_i259_j121,39.5,-104.375,0.15163487448711632,False,-68.03366252089192,-21.87877778018627,4,3,-0.6714269307198261,0.5500246959066363,False
Wet,"2011,2017,2019,2023",December,12,48,MERRA2_i260_j114,40.0,-108.75,0.5390929059106945,False,-58.96144071130817,-59.85704082243615,4,3,-10.519110164179523,0.0018347701098217855,True
