month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,two_sided_p_value,benjamini_hochberg_two_sided_q_value,raw_two_sided_p_lt_0_05,bh_two_sided_q_lt_0_05,water_years,alternative
December,12,22,MERRA2_i256_j120,38.0,-105.0,2260.7425293824126,14,13,-17.56250939828462,-4.089346939239915,0.001278413023077232,0.003540220679290796,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,23,MERRA2_i256_j121,38.0,-104.375,1546.8511619427384,14,13,-6.001514116468548,-1.2965006421129677,0.2173454678707438,0.24075190287220852,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,24,MERRA2_i257_j114,38.5,-108.75,2088.296191174692,14,13,-11.419457684223742,-4.123422008539939,0.0011993736499649348,0.0034541961118990123,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,25,MERRA2_i257_j115,38.5,-108.125,2109.257675297577,14,13,-13.298737107202442,-3.1307724348885695,0.007960934173412456,0.01583178890954859,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,26,MERRA2_i257_j116,38.5,-107.5,2560.8038430549223,14,13,-28.065843406845747,-6.64467889606089,1.6010873393937177e-05,0.00019213048072724612,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,27,MERRA2_i257_j117,38.5,-106.875,2784.0967419618746,14,13,-25.828466199116775,-5.142702139947555,0.00018906813086577926,0.0008007591424903592,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,28,MERRA2_i257_j118,38.5,-106.25,3022.522471682309,14,13,-24.936568496532562,-6.678659562703115,1.519564260629832e-05,0.00019213048072724612,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,29,MERRA2_i257_j119,38.5,-105.625,2556.213241342755,14,13,-20.733714396954205,-4.155883364556479,0.0011287474309750758,0.0033862422929252273,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,30,MERRA2_i257_j120,38.5,-105.0,1987.37523215676,14,13,-5.399961118839712,-2.322131733539734,0.03710188690334016,0.056836933128521096,True,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,31,MERRA2_i257_j121,38.5,-104.375,1593.997839292177,14,13,1.1413480299701777,1.2467919942295438,0.23447082107263784,0.25578635026105945,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
